ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,State Name [State] 2017-18,State Name [State] 2016-17,State Name [State] 2015-16,State Name [State] 2014-15,State Name [State] 2013-14,State Name [State] 2012-13,State Name [State] 2011-12,State Name [State] 2010-11,State Name [State] 2009-10,State Name [State] 2008-09,State Name [State] 2007-08,State Name [State] 2006-07,State Abbr [State] Latest available year,Total Students [State] 2017-18,Total Students [State] 2016-17,Total Students [State] 2015-16,Total Students [State] 2014-15,Total Students [State] 2013-14,Total Students [State] 2012-13,Total Students [State] 2011-12,Total Students [State] 2010-11,Total Students [State] 2009-10,Total Students [State] 2008-09,Total Students [State] 2007-08,Total Students [State] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2013-14,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2009-10,Total Students All Grades (Excludes AE) [Public School] 2008-09,Total Students All Grades (Excludes AE) [Public School] 2007-08,Total Students All Grades (Excludes AE) [Public School] 2006-07
MASSACHUSETTS,MASSACHUSETTS,MASSACHUSETTS,MASSACHUSETTS,MASSACHUSETTS,Massachusetts,Massachusetts,MASSACHUSETTS,MASSACHUSETTS,MASSACHUSETTS,MASSACHUSETTS,MASSACHUSETTS,MASSACHUSETTS,MA ,964791,964514,964026,955844,955739,954773,953369,955563,957053,958910,962958,968661,953873,953748,953413,955843,955739,954771,953369,955301,957053,958910,962806,968661
MICHIGAN,MICHIGAN,MICHIGAN,MICHIGAN,MICHIGAN,Michigan,Michigan,MICHIGAN,MICHIGAN,MICHIGAN,MICHIGAN,MICHIGAN,MICHIGAN,MI ,1516398,1528666,1536231,1537922,1548841,1555370,1573537,1587067,1649082,1659921,1692739,1722656,1471364,1477283,1485144,1491914,1506946,1517572,1533484,1553564,1616662,1629880,1665742,1713777
MINNESOTA,MINNESOTA,MINNESOTA,MINNESOTA,MINNESOTA,Minnesota,Minnesota,MINNESOTA,MINNESOTA,MINNESOTA,MINNESOTA,MINNESOTA,MINNESOTA,MN ,884944,875021,864384,857235,850973,845404,839738,838037,837053,836048,837578,840565,884944,874915,863998,857123,850871,845291,839645,837930,836936,828943,837578,840565
MISSISSIPPI,MISSISSIPPI,MISSISSIPPI,MISSISSIPPI,MISSISSIPPI,Mississippi,Mississippi,MISSISSIPPI,MISSISSIPPI,MISSISSIPPI,MISSISSIPPI,MISSISSIPPI,MISSISSIPPI,MS ,478321,483150,487200,490917,492586,493650,490619,490526,492481,491962,494122,495026,478321,483150,486932,490917,492586,493650,490619,489462,492481,491924,494122,495026
MISSOURI,MISSOURI,MISSOURI,MISSOURI,MISSOURI,Missouri,Missouri,MISSOURI,MISSOURI,MISSOURI,MISSOURI,MISSOURI,MISSOURI,MO ,915472,915040,919234,917785,918288,917900,916584,918710,917982,917871,917188,920353,910386,913935,918254,918124,918288,917683,916300,916356,916468,917871,917188,920353
MONTANA,MONTANA,MONTANA,MONTANA,MONTANA,Montana,Montana,MONTANA,MONTANA,MONTANA,MONTANA,MONTANA,MONTANA,MT ,149474,146375,145319,144532,144129,142908,142349,141693,141807,141899,142823,144418,146657,146375,145319,144532,144129,142908,142349,141693,141807,141899,142823,144418
NEBRASKA,NEBRASKA,NEBRASKA,NEBRASKA,NEBRASKA,Nebraska,Nebraska,NEBRASKA,NEBRASKA,NEBRASKA,NEBRASKA,NEBRASKA,NEBRASKA,NE ,323766,319194,316014,312635,307677,303505,301296,298500,295368,292590,291244,287580,323766,319194,316014,312635,307677,302952,301296,298276,295261,292590,291244,287580
NEVADA,NEVADA,NEVADA,NEVADA,NEVADA,Nevada,Nevada,NEVADA,NEVADA,NEVADA,NEVADA,NEVADA,NEVADA,NV ,485785,473744,467527,459189,451831,445707,439634,437149,428947,433371,429362,424766,485551,473633,467527,459189,451831,445707,439128,436840,435359,433371,429362,423184
NEW HAMPSHIRE,NEW HAMPSHIRE,NEW HAMPSHIRE,NEW HAMPSHIRE,NEW HAMPSHIRE,New Hampshire,New Hampshire,NEW HAMPSHIRE,NEW HAMPSHIRE,NEW HAMPSHIRE,NEW HAMPSHIRE,NEW HAMPSHIRE,NEW HAMPSHIRE,NH ,179433,180888,182425,184670,186310,188974,191900,194711,197140,197934,200772,203572,178308,179762,181307,183600,185312,187947,190784,194001,197140,197934,200772,203551
NEW JERSEY,NEW JERSEY,NEW JERSEY,NEW JERSEY,NEW JERSEY,New Jersey,New Jersey,NEW JERSEY,NEW JERSEY,NEW JERSEY,NEW JERSEY,NEW JERSEY,NEW JERSEY,NJ ,1408102,1410421,1408845,1400579,1370295,1372203,1356431,1402548,1396029,1381420,1382348,1388850,1370676,1370927,1369508,1368999,1371662,1372013,1352571,1356893,1386431,1379873,1379853,1387123
