,attending_school,case_no,casetype,dcps_school_against,home_school,failed_parse,casetype_clean_init,casetype_isdigits,casetype_final
7876,Deal M idd le School,2019-0120,05/ 02/2 019,Deal Midd le School,Wilson Senior High School,0,05/ 02/2 019,digits,Other/failed to parse
7877,Deal M idd le School,2019-0120,05/03/2019,Deal M iddle School,Wilson Senior High School,0,05/03/2019,digits,Other/failed to parse
7878,St. Coletta Special Education,2019-0121,05/03/2019,St. Coletta Special Educat ion PCS,Wilson Senior High School,0,05/03/2019,digits,Other/failed to parse
7879,Wheat ley EC,2019-0123,05/03/2019,Wheat ley EC,Wheat ley EC,0,05/03/2019,digits,Other/failed to parse
7880,Wheat ley EC,2019-0123,05/03/2019,Stuart -Hobson M iddle School,Wheat ley EC,0,05/03/2019,digits,Other/failed to parse
7881,Wheat ley EC,2019-0123,05/06/2019,Stuart -Hobson M iddle School,Wheat ley EC,0,05/06/2019,digits,Other/failed to parse
7882,Stuart-Hobson M idd le School,2019-0122,05/06/2019,Stuart-Hobson M iddle School,Stuar t-H obson Mi dd le School,0,05/06/2019,digits,Other/failed to parse
7883,Stuart-Hobson M idd le School,2019-0122,05/06/2019,Stuart -Hobson Midd le School,Stuar t-H obson Mi dd le School,0,05/06/2019,digits,Other/failed to parse
7884,Stuart-H obso n M idd le School,2019-0124,05/07/2019,Stuart-Hobson Midd le Schoo l,Stuar t-H obson Midd le School,0,05/07/2019,digits,Other/failed to parse
7885,Stuart-H obso n M idd le School,2019-0124,05/07/2019,Kelly M iller MS,Stuar t-H obson Midd le School,0,05/07/2019,digits,Other/failed to parse
7886,Stuart-H obso n M idd le School,2019-0124,05/07/2019,Kelly Mi ller MS,Stuar t-H obson Midd le School,0,05/07/2019,digits,Other/failed to parse
7887,Kelly M il ler MS,2019-0125,05/08/2019,Kelly M iller MS,Kelly Miller MS,0,05/08/2019,digits,Other/failed to parse
7888,Kelly M il ler MS,2019-0125,05/08/2019,Kelly Mi ller MS,Kelly Miller MS,0,05/08/2019,digits,Other/failed to parse
7889,Kelly M il ler MS,2019-0125,05/08/2019,Ron Brow n College Preparatory High School,Ron Brown College Preparatory,0,05/08/2019,digits,Other/failed to parse
7890,Ron Brown College Prepara tor y High School,2019-0127,05/08/2019,Ron Brow n College Preparatory High School,Ron Brown College Preparatory,0,05/08/2019,digits,Other/failed to parse
7891,Ron Brown College Prepara tor y High School,2019-0127,05/08/2019,Ron Brown College Preparatory High School,High School,0,05/08/2019,digits,Other/failed to parse
7892,Lafayette Elemen tary School,2019-0126,05/08/2019,Lafayette Elementary School,High School,0,05/08/2019,digits,Other/failed to parse
7893,Lafayette Elemen tary School,2019-0126,05/10/2019,Deal Middle School,High School,0,05/10/2019,digits,Other/failed to parse
7894,Lafayette Elemen tary School,2019-0126,05/10/2019,Deal M iddle School,High School,0,05/10/2019,digits,Other/failed to parse
7895,Deal M idd le School,2019-0128,05/10/2019,Deal M iddle School,Deal M idd le Schoo l,0,05/10/2019,digits,Other/failed to parse
7896,Deal M idd le School,2019-0128,05/10/2019,Deal Mid dle School,Deal M idd le Schoo l,0,05/10/2019,digits,Other/failed to parse
7897,Deal M idd le School,2019-0128,05/10/2019,Coo lidge High School,Deal M idd le Schoo l,0,05/10/2019,digits,Other/failed to parse
7898,Coolidge High School,2019-0129,05/10/2019,Coo lidge High School,Coolidge High School,0,05/10/2019,digits,Other/failed to parse
7899,Coolidge High School,2019-0129,05/10/2019,Coolidge High School,Coolidge High School,0,05/10/2019,digits,Other/failed to parse
7900,Coolidge High School,2019-0129,05/10/2019,Burrv il le Element ary School,Coolidge High School,0,05/10/2019,digits,Other/failed to parse
7901,Coolidge High School,2019-0129,05/13/2019,Burrvil le Elem enta ry Schoo l,Coolidge High School,0,05/13/2019,digits,Other/failed to parse
7902,Non -Att ending,2019-0130,05/13/2019,Burrv i lle Elem entary School,Burr vi lle Elementar y School,0,05/13/2019,digits,Other/failed to parse
7903,Non -Att ending,2019-0130,05/13/2019,Burrv il le Elementary Schoo l,Burr vi lle Elementar y School,0,05/13/2019,digits,Other/failed to parse
