YEAR,STATE,AGE_3_21_TOTAL
2014,MASSACHUSETTS,167799
2014,MICHIGAN,198171
2014,MINNESOTA,125437
2014,MISSISSIPPI,66448
2014,MISSOURI,124652
2014,MONTANA,17032
2014,NEBRASKA,47341
2014,NEVADA,53755
2014,NEW HAMPSHIRE,28978
2014,NEW JERSEY,232526
2014,NEW MEXICO,47705
2014,NEW YORK,489077
2014,NORTH CAROLINA,196045
2014,NORTH DAKOTA,13636
2014,OHIO,254187
2014,OKLAHOMA,105671
2014,OREGON,83207
2014,PENNSYLVANIA,298274
2014,RHODE ISLAND,23360
2014,SOUTH CAROLINA,99100
2014,SOUTH DAKOTA,18975
2014,TENNESSEE,130729
2014,TEXAS,451623
2014,UTAH,77525
2014,VERMONT,14008
2014,VIRGINIA,162165
2014,WASHINGTON,133459
2014,WEST VIRGINIA,44267
2014,WISCONSIN,120434
2014,WYOMING,3081
2015,ALABAMA,84278
2015,ALASKA,18390
2015,ARIZONA,132592
2015,ARKANSAS,68178
2015,CALIFORNIA,727718
2015,COLORADO,95101
2015,CONNECTICUT,75030
2015,DELAWARE,20742
2015,DISTRICT OF COLUMBIA,12258
2015,FLORIDA,372476
2015,GEORGIA,202314
2015,HAWAII,19223
2015,IDAHO,29718
2015,ILLINOIS,296784
2015,INDIANA,171368
2015,IOWA,63822
2015,KANSAS,70762
2015,KENTUCKY,99283
2015,LOUISIANA,84221
2015,MAINE,32531
2015,MARYLAND,105440
2015,MASSACHUSETTS,168199
2015,MICHIGAN,197316
2015,MINNESOTA,128218
2015,MISSISSIPPI,66799
2015,MISSOURI,126328
2015,MONTANA,17387
2015,NEBRASKA,47795
2015,NEVADA,55452
2015,NEW HAMPSHIRE,28806
2015,NEW JERSEY,232401
2015,NEW MEXICO,49667
2015,NEW YORK,499551
2015,NORTH CAROLINA,198808
2015,NORTH DAKOTA,13953
2015,OHIO,253896
2015,OKLAHOMA,108459
2015,OREGON,84517
2015,PENNSYLVANIA,303633
2015,RHODE ISLAND,23515
2015,SOUTH CAROLINA,101776
2015,SOUTH DAKOTA,19527
2015,TENNESSEE,129386
2015,TEXAS,463238
2015,UTAH,79932
2015,VERMONT,13903
2015,VIRGINIA,164757
2015,WASHINGTON,135757
2015,WEST VIRGINIA,45297
2015,WISCONSIN,120864
2015,WYOMING,15608
2016,ALABAMA,86922
2016,ALASKA,18711
2016,ARIZONA,135250
2016,ARKANSAS,70792
2016,CALIFORNIA,747317
2016,COLORADO,98031
2016,CONNECTICUT,77519
2016,DELAWARE,21581
2016,DISTRICT OF COLUMBIA,12811
2016,FLORIDA,382870
2016,GEORGIA,209094
2016,HAWAII,19375
2016,IDAHO,31238
2016,ILLINOIS,294150
2016,INDIANA,173293
2016,IOWA,64875
2016,KANSAS,72286
2016,KENTUCKY,101579
2016,LOUISIANA,82968
2016,MAINE,33125
2016,MARYLAND,106847
2016,MASSACHUSETTS,170119
2016,MICHIGAN,197965
2016,MINNESOTA,131865
2016,MISSISSIPPI,67898
2016,MISSOURI,128623
2016,MONTANA,18056
2016,NEBRASKA,
2016,NEVADA,56791
2016,NEW HAMPSHIRE,28935
2016,NEW JERSEY,235495
2016,NEW MEXICO,51383
2016,NEW YORK,505414
2016,NORTH CAROLINA,199512
2016,NORTH DAKOTA,14407
2016,OHIO,259899
2016,OKLAHOMA,109391
2016,OREGON,85865
2016,PENNSYLVANIA,311435
2016,RHODE ISLAND,23296
2016,SOUTH CAROLINA,103552
2016,SOUTH DAKOTA,20312
2016,TENNESSEE,128936
2016,TEXAS,477526
2016,UTAH,81956
2016,VERMONT,14370
2016,VIRGINIA,167855
2016,WASHINGTON,139550
2016,WEST VIRGINIA,46299
2016,WISCONSIN,
2016,WYOMING,15499
2017,ALABAMA,90319
2017,ALASKA,19148
2017,ARIZONA,140702
2017,ARKANSAS,72835
2017,CALIFORNIA,767562
2017,COLORADO,102240
2017,CONNECTICUT,79758
2017,DELAWARE,23196
2017,DISTRICT OF COLUMBIA,13399
2017,FLORIDA,389626
2017,GEORGIA,214267
2017,HAWAII,19276
2017,IDAHO,32908
2017,ILLINOIS,295066
2017,INDIANA,176104
2017,IOWA,65935
2017,KANSAS,73729
2017,KENTUCKY,104270
2017,LOUISIANA,84473
2017,MAINE,
2017,MARYLAND,108491
2017,MASSACHUSETTS,173762
2017,MICHIGAN,198751
2017,MINNESOTA,
2017,MISSISSIPPI,69197
2017,MISSOURI,131114
2017,MONTANA,18803
2017,NEBRASKA,50415
2017,NEVADA,60123
2017,NEW HAMPSHIRE,29233
2017,NEW JERSEY,238178
2017,NEW MEXICO,52838
2017,NEW YORK,522221
2017,NORTH CAROLINA,200905
2017,NORTH DAKOTA,15153
2017,OHIO,266670
2017,OKLAHOMA,112080
2017,OREGON,87156
2017,PENNSYLVANIA,320817
2017,RHODE ISLAND,23748
2017,SOUTH CAROLINA,104698
2017,SOUTH DAKOTA,21190
2017,TENNESSEE,129319
2017,TEXAS,498588
2017,UTAH,84196
2017,VERMONT,
2017,VIRGINIA,172370
2017,WASHINGTON,143498
2017,WEST VIRGINIA,46810
2017,WISCONSIN,
2017,WYOMING,15551
