YEAR,STATE,WRITTEN_SIGNED_COMPLAINTS_WSC_TOTAL,WSC_WITH_REPORTS_ISSUED_TOTAL,WSC_REPORTS_WITH_FINDINGS,WSC_REPORTS_WITHIN_TIMELINE,WSC_REPORTS_WITHIN_EXTENDED_TIMELINES,WSC_WITHDRAWN_OR_DISMISSED,WSC_PENDING_TOTAL,WSC_PENDING_A_DUE_PROCESS_HEARING,MEDIATION_REQUESTS_TOTAL,MEDIATIONS_HELD_TOTAL,MEDIATIONS_HELD_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATION_AGREEMENTS_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATIONS_HELD_NOT_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATION_AGREEMENTS_NOT_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATIONS_PENDING,DUE_PROCESS_COMPLAINTS_DPC_TOTAL,DPC_RESOLUTION_MEETINGS_TOTAL,DPC_RESOLUTION_MEETINGS_WRITTEN_SETTLEMENT_AGREEMENTS,DPC_HEARINGS_FULLY_ADJUDICATED_TOTAL,DPC_WRITTEN_DECISIONS_WITHIN_TIMELINE,DPC_WRITTEN_DECISIONS_WITHIN_EXTENDED_TIMELINES,DPC_WITHDRAWN_OR_DISMISSED,EXPEDITED_DUE_PROCESS_COMPLAINTS_EDPC_TOTAL,EDPC_RESULTED_IN_A_RESOLUTION_MEETING_TOTAL,EDPC_RESOLUTION_MEETINGS_WRITTEN_SETTLEMENT_AGREEMENTS,EDPC_EXPEDITED_HEARINGS_FULLY_ADJUDICATED_TOTAL,EDPC_EXPEDITED_HEARINGS_CHANGE_OF_PLACEMENT_ORDERED,MEDIATIONS_WITHDRAWN_OR_NOT_HELD,DPC_PENDING,EDPC_PENDING,EDPC_WITHDRAWN_OR_DISMISSED
2006,US and Outlying Areas,"5,646","3,905","2,613","3,269",402,"1,570",171,86,"8,644","5,835","2,870","1,392","2,965","2,287","2,809",18358,"9,845","2,027","4,537","1,962",988,"11,812",348,190,98,96,34,,,,
2007,Alabama,29,24,11,23,1,5,0,0,78,30,9,7,21,13,48,99,67,17,5,0,5,68,0,0,0,0,0,,,,
2007,Alaska,5,5,3,5,0,0,0,0,12,12,2,2,10,7,0,21,15,3,6,0,6,13,0,0,0,0,0,,,,
2007,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2007,Arizona,150,121,47,114,5,29,0,0,33,24,9,8,15,9,9,51,22,15,2,0,2,27,1,0,0,0,0,,,,
2007,Arkansas,12,9,7,9,0,3,0,0,22,16,1,0,15,12,6,6,6,6,0,0,0,6,0,0,0,0,0,,,,
2007,BIE schools,2,1,1,1,0,0,1,1,2,1,1,0,0,0,1,5,1,1,1,0,0,2,0,0,0,0,0,,,,
2007,California,"1,034",864,864,861,3,170,0,0,"2,624","1,034",931,680,103,90,"1,590",2398,"1,289",520,67,16,51,624,25,14,9,0,0,,,,
2007,Colorado,12,12,7,9,3,0,0,0,40,24,8,5,16,14,16,21,11,6,4,1,3,15,2,2,2,0,0,,,,
2007,Connecticut,150,112,80,106,6,38,0,0,258,221,74,58,147,98,37,206,9,2,21,7,14,185,7,0,0,1,0,,,,
2007,Delaware,13,8,8,4,4,5,0,0,14,14,3,2,11,10,0,16,1,0,2,0,2,13,0,0,0,0,0,,,,
2007,District of Columbia,7,5,3,0,0,2,0,0,11,11,3,1,8,1,0,3261,153,0,"1,319",150,24,"1,040",20,2,0,0,0,,,,
2007,Florida,109,58,48,42,16,45,6,3,184,70,31,19,39,32,114,158,84,58,5,0,5,111,21,12,8,0,0,,,,
2007,Georgia,44,37,19,28,2,7,0,0,94,73,32,14,41,29,21,139,62,31,3,0,2,105,11,3,2,0,0,,,,
2007,Guam,5,5,5,5,0,0,0,0,1,1,0,0,1,1,0,2,2,2,0,0,0,2,0,0,0,0,0,,,,
2007,Hawaii,23,21,12,20,1,0,2,1,9,7,1,1,6,5,2,111,105,42,18,0,18,43,0,0,0,0,0,,,,
