STATE,YEAR,STUDENT_COUNT
OREGON,2010,553617
PENNSYLVANIA,2010,1763594
RHODE ISLAND,2010,142575
SOUTH CAROLINA,2010,724660
SOUTH DAKOTA,2010,125883
TENNESSEE,2010,987078
TEXAS,2010,4933737
UTAH,2010,585552
VERMONT,2010,85144
VIRGINIA,2010,1250206
WASHINGTON,2010,1043466
WEST VIRGINIA,2010,282879
WISCONSIN,2010,872164
WYOMING,2010,88779
ALABAMA,2009,748836
ALASKA,2009,131661
ARIZONA,2009,1078756
ARKANSAS,2009,480559
CALIFORNIA,2009,6166649
COLORADO,2009,831906
CONNECTICUT,2009,563801
DELAWARE,2009,124809
DISTRICT OF COLUMBIA,2009,69219
FLORIDA,2009,2634522
GEORGIA,2009,1667685
HAWAII,2009,180196
IDAHO,2009,276299
ILLINOIS,2009,2096927
INDIANA,2009,1046661
IOWA,2009,482123
KANSAS,2009,469293
KENTUCKY,2009,676286
LOUISIANA,2009,690741
MAINE,2009,184232
MARYLAND,2009,848412
MASSACHUSETTS,2009,957053
MICHIGAN,2009,1616662
MINNESOTA,2009,836936
MISSISSIPPI,2009,492481
MISSOURI,2009,916468
MONTANA,2009,141807
NEBRASKA,2009,295261
NEVADA,2009,435359
NEW HAMPSHIRE,2009,197140
NEW JERSEY,2009,1386431
NEW MEXICO,2009,332584
NEW YORK,2009,2715997
NORTH CAROLINA,2009,1477354
NORTH DAKOTA,2009,93055
OHIO,2009,1762311
OKLAHOMA,2009,654802
OREGON,2009,553846
PENNSYLVANIA,2009,1761333
RHODE ISLAND,2009,143674
SOUTH CAROLINA,2009,723142
SOUTH DAKOTA,2009,123708
TENNESSEE,2009,972428
TEXAS,2009,4849426
UTAH,2009,582793
VERMONT,2009,86137
VIRGINIA,2009,1245285
WASHINGTON,2009,1035339
WEST VIRGINIA,2009,282661
WISCONSIN,2009,872321
WYOMING,2009,88152
ALABAMA,2008,742997
ALASKA,2008,130662
ARIZONA,2008,1085822
ARKANSAS,2008,478965
CALIFORNIA,2008,6240184
COLORADO,2008,817605
CONNECTICUT,2008,561766
DELAWARE,2008,123968
DISTRICT OF COLUMBIA,2008,68681
FLORIDA,2008,2631020
GEORGIA,2008,1655792
HAWAII,2008,179406
IDAHO,2008,274672
ILLINOIS,2008,2119707
INDIANA,2008,1046147
IOWA,2008,482735
KANSAS,2008,471060
KENTUCKY,2008,670030
LOUISIANA,2008,684745
MAINE,2008,187484
MARYLAND,2008,843781
MASSACHUSETTS,2008,958910
MICHIGAN,2008,1629880
MINNESOTA,2008,828943
MISSISSIPPI,2008,491924
MISSOURI,2008,917871
MONTANA,2008,141899
NEBRASKA,2008,292590
NEVADA,2008,433371
NEW HAMPSHIRE,2008,197934
NEW JERSEY,2008,1379873
NEW MEXICO,2008,328420
NEW YORK,2008,2740592
NORTH CAROLINA,2008,1457835
NORTH DAKOTA,2008,94728
OHIO,2008,1813999
OKLAHOMA,2008,645108
OREGON,2008,556380
PENNSYLVANIA,2008,1769786
RHODE ISLAND,2008,143591
SOUTH CAROLINA,2008,718113
SOUTH DAKOTA,2008,126425
TENNESSEE,2008,971950
TEXAS,2008,4751003
UTAH,2008,559687
VERMONT,2008,90106
VIRGINIA,2008,1235143
WASHINGTON,2008,1037018
WEST VIRGINIA,2008,282718
WISCONSIN,2008,873607
WYOMING,2008,87153
ALABAMA,2007,743778
ALASKA,2007,131029
ARIZONA,2007,1087263
ARKANSAS,2007,479016
CALIFORNIA,2007,6070428
COLORADO,2007,801867
CONNECTICUT,2007,568405
DELAWARE,2007,122574
DISTRICT OF COLUMBIA,2007,78108
FLORIDA,2007,2666811
GEORGIA,2007,1649589
HAWAII,2007,179897
IDAHO,2007,271976
ILLINOIS,2007,2112805
INDIANA,2007,1045927
IOWA,2007,482204
KANSAS,2007,468295
KENTUCKY,2007,666225
LOUISIANA,2007,680911
MAINE,2007,190737
MARYLAND,2007,845700
MASSACHUSETTS,2007,962806
MICHIGAN,2007,1665742
MINNESOTA,2007,837578
MISSISSIPPI,2007,494122
MISSOURI,2007,917188
MONTANA,2007,142823
NEBRASKA,2007,291244
NEVADA,2007,429362
NEW HAMPSHIRE,2007,200772
NEW JERSEY,2007,1379853
NEW MEXICO,2007,327670
NEW YORK,2007,2765435
NORTH CAROLINA,2007,1458035
NORTH DAKOTA,2007,95052
OHIO,2007,1821635
OKLAHOMA,2007,642065
OREGON,2007,558791
PENNSYLVANIA,2007,1787813
RHODE ISLAND,2007,146228
SOUTH CAROLINA,2007,712319
SOUTH DAKOTA,2007,120271
TENNESSEE,2007,963839
TEXAS,2007,4673455
UTAH,2007,576244
VERMONT,2007,91728
VIRGINIA,2007,1230809
WASHINGTON,2007,1030247
WEST VIRGINIA,2007,282512
WISCONSIN,2007,874478
WYOMING,2007,86364
ALABAMA,2006,743469
ALASKA,2006,132608
ARIZONA,2006,1065082
ARKANSAS,2006,476132
CALIFORNIA,2006,6274813
COLORADO,2006,793269
CONNECTICUT,2006,574516
DELAWARE,2006,122254
DISTRICT OF COLUMBIA,2006,72743
FLORIDA,2006,2671513
GEORGIA,2006,1629157
HAWAII,2006,180720
IDAHO,2006,267447
ILLINOIS,2006,2118276
INDIANA,2006,1044486
IOWA,2006,481688
KANSAS,2006,459879
KENTUCKY,2006,646634
LOUISIANA,2006,675716
MAINE,2006,193986
MARYLAND,2006,851640
MASSACHUSETTS,2006,968661
MICHIGAN,2006,1713777
MINNESOTA,2006,840565
MISSISSIPPI,2006,495026
MISSOURI,2006,920353
MONTANA,2006,144418
NEBRASKA,2006,287580
NEVADA,2006,423184
NEW HAMPSHIRE,2006,203551
NEW JERSEY,2006,1387123
NEW MEXICO,2006,326676
NEW YORK,2006,2808117
NORTH CAROLINA,2006,1444215
NORTH DAKOTA,2006,96670
OHIO,2006,1832100
OKLAHOMA,2006,639009
OREGON,2006,555013
PENNSYLVANIA,2006,1846420
RHODE ISLAND,2006,149925
SOUTH CAROLINA,2006,703119
SOUTH DAKOTA,2006,121158
TENNESSEE,2006,978368
TEXAS,2006,4597733
UTAH,2006,523594
VERMONT,2006,93217
VIRGINIA,2006,1220365
WASHINGTON,2006,1026774
WEST VIRGINIA,2006,281074
WISCONSIN,2006,876588
WYOMING,2006,85193
